plot_id,date,visit_year,species_name,over_100cm
gordon x1,2018-08-20,2018,Diospyros virginiana,7
gordon y1,2018-08-20,2018,Diospyros virginiana,2
gordon z1,2018-08-20,2018,Pinus palustris,1
gordon z1,2018-08-20,2018,Prunus spp.,1
gordon x1,2018-08-20,2018,Quercus incana,6
gordon z1,2018-08-20,2018,Quercus incana,1
gordon x1,2018-08-20,2018,Quercus laevis,1
gordon x1,2018-08-20,2018,Sassafras albidum,3
gordon y1,2018-08-20,2018,Sassafras albidum,4
gordon v1,2018-08-21,2018,Carya spp.,2
gordon w1,2018-08-21,2018,Carya spp.,2
gordon v1,2018-08-21,2018,Cornus floridana,4
gordon w1,2018-08-21,2018,Cornus floridana,1
gordon w1,2018-08-21,2018,Ilex vomitoria,1
gordon w1,2018-08-21,2018,Ilex opaca,1
gordon v1,2018-08-21,2018,Juniperus virginiana,1
gordon w1,2018-08-21,2018,Liquidambar styraciflua,2
gordon w1,2018-08-21,2018,Persea borbonia,2
gordon w1,2018-08-21,2018,Pinus palustris,1
gordon w1,2018-08-21,2018,Prunus spp.,1
gordon v1,2018-08-21,2018,Quercus hemisphaerica,3
gordon t1,2018-08-21,2018,Quercus incana,1
gordon t1,2018-08-21,2018,Quercus laevis,4
gordon v1,2018-08-21,2018,Quercus laevis,1
gordon w1,2018-08-21,2018,Quercus nigra,2
gordon v1,2018-08-21,2018,Vaccinium spp.,6
gordon w1,2018-08-21,2018,Vaccinium spp.,2
gordon v1,2018-08-21,2018,Vitis rotundifolia,3
gordon r1,2018-08-22,2018,Quercus marilandica,2
gordon s1,2018-08-22,2018,Quercus marilandica,1
gordon r1,2018-08-22,2018,Sassafras albidum,3
gordon s1,2018-08-22,2018,Sassafras albidum,8
gordon s1,2018-08-22,2018,Vitis rotundifolia,1
