"installation","plot_id","veg_id","under_50cm","50-99cm","over_100cm","date","notes","scientific_name","functional_group","Genus","Species","Status","functional_group__1"
"blanding","c1","QULA",4,28,16,20170425,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"blanding","c1","shrub1",5,9,3,20170425,NA,NA,NA,NA,NA,NA,NA
"blanding","bland02","QULA",11,22,25,20170428,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"blanding","bland02","shrub1",5,2,1,20170428,NA,NA,NA,NA,NA,NA,NA
"blanding","b1","ASIMI",NA,NA,9,20170608,NA,"Asimina spp.","shrub","Asimina","spp.","native/introduced","shrub"
"blanding","b1","DIVI",NA,NA,3,20170608,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"blanding","b1","QULA",NA,NA,8,20170608,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"blanding","b1","SM",NA,NA,1,20170608,NA,"Smilax spp.","vine","Smilax","spp.","native","vine"
"blanding","a1","DIVI",NA,NA,1,20170609,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"blanding","a1","QULA",NA,NA,8,20170609,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"blanding","e1","ASIMI",NA,NA,3,20170614,NA,"Asimina spp.","shrub","Asimina","spp.","native/introduced","shrub"
"blanding","e1","PIPA",NA,NA,3,20170614,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"blanding","e1","QUHE",NA,NA,1,20170614,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
"blanding","e1","QULA",NA,NA,3,20170614,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"blanding","e1","QUMY",NA,NA,1,20170614,NA,"Quercus myrtifolia","tree","Quercus","myrtifolia","native","tree"
"blanding","e1","SERE",NA,NA,1,20170614,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"blanding","g1","SERE",NA,NA,48,20170615,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"blanding","h1","DIVI",NA,NA,17,20170620,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"blanding","h1","QUNI",NA,NA,7,20170620,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"blanding","f1","ASIMI",NA,NA,8,20170621,NA,"Asimina spp.","shrub","Asimina","spp.","native/introduced","shrub"
"blanding","d1","DIVI",NA,NA,3,20170621,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"blanding","f1","DIVI",NA,NA,4,20170621,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"blanding","f1","PICL",NA,NA,1,20170621,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
"blanding","f1","PIPA",NA,NA,1,20170621,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"blanding","d1","QUGE",NA,NA,6,20170621,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
"blanding","f1","QUIN",NA,NA,4,20170621,NA,"Quercus incana","tree","Quercus","incana","native","tree"
"blanding","d1","QULA",NA,NA,5,20170621,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"blanding","f1","QULA",NA,NA,8,20170621,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"blanding","f1","QUMY",NA,NA,11,20170621,NA,"Quercus myrtifolia","tree","Quercus","myrtifolia","native","tree"
"blanding","d1","QUNI",NA,NA,1,20170621,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"blanding","f1","QUNI",NA,NA,1,20170621,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"blanding","f1","RHCO",NA,NA,7,20170621,NA,"Rhus copallinum","shrub","Rhus","copallinum","native","shrub"
"avonpark","a1","SERE",NA,NA,2,20170627,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","c1","LYFE",NA,NA,3,20170628,NA,"Lyonia ferruginea","shrub","Lyonia","ferruginea","native","shrub"
"avonpark","c1","MOCE",NA,NA,3,20170628,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"avonpark","c1","SERE",NA,NA,6,20170628,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","c1","shrub-forb 11:48",NA,NA,1,20170628,NA,NA,NA,NA,NA,NA,NA
"avonpark","b1","ILEX",NA,NA,5,20170629,NA,"Ilex spp.","shrub","Ilex","spp.","native/introduced","shrub"
"avonpark","b1","SERE",NA,NA,42,20170629,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","d1","PICL",NA,NA,4,20170630,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
"avonpark","d1","QUGE",NA,NA,13,20170630,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
"avonpark","d1","QUMY",NA,NA,18,20170630,NA,"Quercus myrtifolia","tree","Quercus","myrtifolia","native","tree"
"avonpark","d1","QUMY",NA,NA,3,20170630,NA,"Quercus myrtifolia","tree","Quercus","myrtifolia","native","tree"
"avonpark","d1","QUNI",NA,NA,4,20170630,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"avonpark","d1","SERE",NA,NA,14,20170630,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"tyndall","b1",NA,NA,NA,0,20170718,"placeholder zero for plot visit",NA,NA,NA,NA,NA,NA
"tyndall","b2","SERE",NA,NA,2,20170719,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"tyndall","h1","HYPER",NA,NA,27,20170720,NA,"Hypericum spp.","forb","Hypericum","spp.","native","forb"
"tyndall","d1","ILGL",NA,NA,7,20170720,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"tyndall","h1","ILGL",NA,NA,1300,20170720,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"tyndall","d1","MOCE",NA,NA,1,20170720,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"tyndall","d1","QUHE",NA,NA,1,20170720,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
"tyndall","d1","QUERC",NA,NA,4,20170720,NA,"Quercus spp.","tree/shrub","Quercus","spp.","native/introduced","tree/shrub"
"tyndall","d1","SERE",NA,NA,16,20170720,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"tyndall","h1","SERE",NA,NA,5,20170720,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"tyndall","h1","skinny leaf",NA,NA,38,20170720,NA,NA,NA,NA,NA,NA,NA
"eglin","h1","CHFA",NA,NA,6,20170816,"idk what SF is - SC 8/30, changed to woody goldenrod","Chamaecrista fasciculata","forb","Chamaecrista","fasciculata","native","forb"
"eglin","h1","CRATA",NA,NA,19,20170816,NA,"Crataegus spp.","shrub","Crataegus","spp.","native/introduced","shrub"
"eglin","h1","PIPA",NA,NA,6,20170816,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"eglin","h1","QUGE",NA,NA,1,20170816,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
"eglin","h1","QULA",NA,NA,9,20170816,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"eglin","h1","QUNI",NA,NA,1,20170816,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"eglin","h1","QUERC",NA,NA,9,20170816,"chapman?","Quercus spp.","tree/shrub","Quercus","spp.","native/introduced","tree/shrub"
"eglin","h1","SERE",NA,NA,1,20170816,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"eglin","d1","DIVI",NA,NA,4,20170817,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"eglin","d1","QULA",NA,NA,2,20170817,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"eglin","d1","SERE",NA,NA,8,20170817,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"eglin","p1","CHFA",NA,NA,5,20170818,"idk what SF is - SC 8/30, changed to woody goldenrod","Chamaecrista fasciculata","forb","Chamaecrista","fasciculata","native","forb"
"eglin","p1","DIVI",NA,NA,6,20170818,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"eglin","p1","PIPA",NA,NA,4,20170818,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"eglin","p1","QUIN",NA,NA,1,20170818,NA,"Quercus incana","tree","Quercus","incana","native","tree"
"eglin","p1","QULA",NA,NA,2,20170818,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"eglin","p1","QULA",NA,NA,1,20170818,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"eglin","p1","alt shrub 2",NA,NA,1,20170818,NA,NA,NA,NA,NA,NA,NA
"eglin","b1","CHFA",NA,NA,1,20170819,"idk what SF is - SC 8/30, changed to woody goldenrod","Chamaecrista fasciculata","forb","Chamaecrista","fasciculata","native","forb"
"eglin","b1","CRATA",NA,NA,3,20170819,NA,"Crataegus spp.","shrub","Crataegus","spp.","native/introduced","shrub"
"eglin","b1","DIVI",NA,NA,1,20170819,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"eglin","b1","PIPA",NA,NA,1,20170819,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"eglin","b1","RHCO",NA,NA,1,20170819,NA,"Rhus copallinum","shrub","Rhus","copallinum","native","shrub"
"moody","A1","CAAM",NA,NA,10,20170829,NA,"Callicarpa americana","shrub","Callicarpa","americana","native","shrub"
"moody","A1","CRSP2",NA,NA,2,20170829,NA,"Crotalaria spectabilis","forb","Crotalaria","spectabilis","invasive","forb"
"moody","B1","ILGL",NA,NA,18,20170829,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"moody","A1","LIST",NA,NA,2,20170829,NA,"Liquidambar styraciflua","tree","Liquidambar","styraciflua","native","tree"
"moody","A1","MAGNO",NA,NA,1,20170829,NA,"Magnolia spp.","shrub/tree","Magnolia","spp.","native/introduced","shrub/tree"
"moody","A1","MOCE",NA,NA,2,20170829,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"moody","B1","MOCE",NA,NA,1,20170829,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"moody","B1","QUNI",NA,NA,23,20170829,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"moody","A1","QUST",NA,NA,1,20170829,NA,"Quercus stellata","tree","Quercus","stellata","native","tree"
"moody","A1","QUST",NA,NA,1,20170829,NA,"Quercus stellata","tree","Quercus","stellata","native","tree"
"moody","A1","RHAR",NA,NA,1,20170829,NA,"Rhus  aromatica","shrub","Rhus","aromatica","native","shrub"
"moody","A1","unknown",NA,NA,1,20170829,NA,NA,NA,NA,NA,NA,NA
"moody","K1","MENTH",NA,NA,1,20170831,NA,"Mentha  spp.","forb","Mentha","spp.","native/introduced","forb"
"moody","K1","QUNI",NA,NA,1,20170831,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"shelby","b1","ACRU",NA,NA,5,20170921,NA,"Acer  rubrum","tree","Acer","rubrum","native","tree"
"shelby","b1","BACCH",NA,NA,7,20170921,NA,"Baccharis spp.","forb","Baccharis","spp.","native","forb"
"shelby","b1","CAAM",NA,NA,43,20170921,NA,"Callicarpa americana","shrub","Callicarpa","americana","native","shrub"
"shelby","f1","CAAM",NA,NA,10,20170921,NA,"Callicarpa americana","shrub","Callicarpa","americana","native","shrub"
"shelby","b1","CAPU2",NA,NA,4,20170921,"chinquapin","Castanea pumila","shrub","Castanea","pumila","native","shrub"
"shelby","b1","ILGL",NA,NA,6,20170921,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"shelby","f1","ILGL",NA,NA,20,20170921,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"shelby","b1","ILVO",NA,NA,3,20170921,NA,"Ilex vomitoria","shrub","Ilex","vomitoria","native","shrub"
"shelby","f1","ILVO",NA,NA,41,20170921,NA,"Ilex vomitoria","shrub","Ilex","vomitoria","native","shrub"
"shelby","f1","ILOP",NA,NA,1,20170921,NA,"Ilex  opaca","shrub","Ilex","opaca","native","shrub"
"shelby","b1","LIST",NA,NA,21,20170921,NA,"Liquidambar styraciflua","tree","Liquidambar","styraciflua","native","tree"
"shelby","b1","MAVI",NA,NA,3,20170921,NA,"Magnolia virginiana","tree","Magnolia","virginiana","native","tree"
"shelby","f1","MAVI",NA,NA,24,20170921,NA,"Magnolia virginiana","tree","Magnolia","virginiana","native","tree"
"shelby","b1","MOCE",NA,NA,7,20170921,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"shelby","f1","MOCE",NA,NA,5,20170921,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"shelby","b1","NYSY",NA,NA,2,20170921,NA,"Nyssa sylvatica","tree","Nyssa","sylvatica","native","tree"
"shelby","f1","PITA",NA,NA,37,20170921,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
"shelby","b1","QUNI",NA,NA,9,20170921,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"shelby","f1","QUNI",NA,NA,19,20170921,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"shelby","b1","QUST",NA,NA,3,20170921,NA,"Quercus stellata","tree","Quercus","stellata","native","tree"
"shelby","b1","RHCO",NA,NA,8,20170921,NA,"Rhus copallinum","shrub","Rhus","copallinum","native","shrub"
"shelby","f1","RHCO",NA,NA,15,20170921,NA,"Rhus copallinum","shrub","Rhus","copallinum","native","shrub"
"shelby","b1","RUBUS",NA,NA,1,20170921,NA,"Rubus spp.","forb/shrub","Rubus","spp.","native/introduced","forb/shrub"
"shelby","b1","VACCI",NA,NA,2,20170921,NA,"Vaccinium spp.","shrub","Vaccinium","spp.","native","shrub"
"shelby","f1","VACCI",NA,NA,19,20170921,NA,"Vaccinium spp.","shrub","Vaccinium","spp.","native","shrub"
"shelby","d1","ACRU",NA,NA,5,20170923,NA,"Acer  rubrum","tree","Acer","rubrum","native","tree"
"shelby","d1","DIVI",NA,NA,2,20170923,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"shelby","d1","ILGL",NA,NA,122,20170923,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"shelby","d1","ILVO",NA,NA,9,20170923,NA,"Ilex vomitoria","shrub","Ilex","vomitoria","native","shrub"
"shelby","d1","MOCE",NA,NA,3,20170923,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"shelby","d1","QUNI",NA,NA,15,20170923,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
